text,label
"ATTN:I am Bulawa Mulete JR. the son of Mr. STEVE MBEKI MULETE from Zimbabwe. I am sorry this mail
Will surprise you, though we do not know, 
Due to the current war against white farmers in
Zimbabwe and the support of President Robert Mugabe to
Claim all white owned farms in our country to gain
Favor for re-election.All white farmers were asked to
Surrender their farms to the government for
Re-distribution and infact to his political party
Members and my father though black was the treasury
of the farmers association and a strong member of an
Opposition party that did not support the president
Idea. He then ordered his party members and the police
Under his pay row to invade my father's farm and burn
Down everything in the farm. They killed my
Father and took away a lot of items from his farm.
After the death of my father, our local pastor and a
Close friend of my father handed us over will
Documents with instructions from my father that we
Should leave Zimbabwe incase anything happen to him. The will 
Documents has a certificate of deposit, confirming a deposit
Kept in custody for us in a security company unknown
To the company that the content is money hence it was deposited as 
Personal belongings and ensure that we do not remain here as we could
Easily be found by his enemies. The total amount is
US$21.5M.We are therefore soliciting for
Your assistance to help us move the fund out of
Zimbabwe, as our fate and future is far from
reality, hence this mail to you. The president's present ban of
International Press into Zimbabwe and the drop from office of the 
Finance Minister to avoid giving white farmers fund Transfer
Clearance above US$1M is just a few of the
Unthinkable things he is committing in my Country.
I have tried to reach my father's close friend Mr.
John Casahans from Australia also a farmer who was
Leaving in Zimbabwe with us but left with his family
Late last year following this ugly development to no
Avail.
Should you be interested to help us, contact me
Immediately via email for easy communication and I
Will furnish you with the time frame and modalities of
the transaction. We have concluded a wonderful plan of 
Caring out the transfer within two weeks. Please note that 
This transaction is100% confidential and risk free and will 
Not endanger you or us in any way. We have resolved to give you 20%
Of the total sum upon confirmation of the fund in any
Account of your choice were the incident of taxation
will not take much tool on the money and we look
Forward to coming over to your country to invest our
Share and settle there. I will a private
Phone so that our conversation can be
100% confidential.NOTE: DO REPLY TO bulmulete@golfemail.com
God bless you indeed as you help yourself and us.Mr. BULAWA  MULETE JR
 -- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",1
"URL: http://jeremy.zawodny.com/blog/archives/000230.html
Date: 2002-10-09T22:10:38-08:00I'll be in Ohio this weekend for a family gathering, so I'll be missing Fleet 
Week (Google can't find a good ""official site""). Damn. I've wanted to see the 
Blue Angles again. Wow, that site sucks. And Google couldn't find...",0
"get xanax , valíum over night - no prescription necessary up to 80 % savings on xanax , valium , cialis , viagra , tylenol 3 & more here for email removal , go here . elm bricklay taxied lase lotte january quail humpback diddle respite confect capitoline curse hanlon detector abed botch dribblehereinafter coincidental demolition premium broadloom storekeep conduce atrocity macarthur knauer winy tile fisherman medium sharon faustian myel contretempsdogma revolution parenthesis position dendritic augite catfish aura maurice imposition vigil dome drought sideman furrier memoranda dig decorpyongyang honshu rica colorimeter buchenwald retrospect colonist helpmate avery innovate chariot stretch lapelled delirium ascetic buenos disneyland penmenbefogging england helvetica adair juicy cerberus conn hierarchic advocate abbey sourberry wastewater actress bronx releasable",1
">>>>> ""J"" == Joseph S Barrera,  writes:    J> Fine, *I'll* fork it. This piece has been up on the wall of our
    J> CTO's office for years. It deserves to be forked, or even
    J> reforked.Any idea of the date of this ""Hemingway Contest"" claim?  Apparently
RAID places it c.1995 but I'm just curious as to how many years this
may have been out there.
-- 
Gary Lawrence Murphy  TeleDynamics Communications Inc
Business Innovations Through Open Source Systems: http://www.teledyn.com
""Computers are useless.  They can only give you answers.""(Pablo Picasso)http://xent.com/mailman/listinfo/fork",0
"re : need deal for march 2000 daren , yes , the gas on deal 210722 is going to reliant , however , it needs to be brokered instead of service as tejas does not show any transport . i don ' t know if it can be changed or if a new deal needs to be set up . thanks , buddy - - - - - original message - - - - - from : farmer , daren j . sent : wednesday , october 31 , 2001 10 : 49 am to : majorwitz , buddy cc : olsen , michael ; schumack , sherlyn subject : re : need deal for march 2000 isn ' t the deal pathed from exxon king ranch ( deal 210722 ) to reliant ? d - - - - - original message - - - - - from : majorwitz , buddy sent : tuesday , october 30 , 2001 4 : 25 pm to : farmer , daren j . cc : olsen , michael ; schumack , sherlyn subject : need deal for march 2000 daren , sherlyn schumack suggested that i contact you with this matter . i am working on some old hpl issues and have come across a deal that was initially set up , # 208101 , but this deal was subsequently killed ( no reason found ) . this deal was copied from # 205533 which was good through 2 / 29 / 00 . please set up a valid deal for march 2000 just like either one of these deals whereby hpl is buying gas from ena on tejas at the same points . this deal is needed because it leads to a valid sale to reliant energy . please note that reliant has been invoiced and settlement has already been made . if i have not provided enough information or if you have any questions , please do not hesitate to give me a call . as i need to resolve this issue as soon as possible , your prompt attention to this matter would be most appreciated . buddy x - 31933",0
delivery failure : utilisateur m . fierobe ( m . fierobe @ cedus . fr ) non your message subject : just to her . . . was not delivered to : m . fierobe @ cedus . fr because : utilisateur m . fierobe ( m . fierobe @ cedus . fr ) non recens? dans l ' annuaire domino,1
"that the server doesn't know you are the same person that reported the spam, since the identity isn't checked (at least not required, so i assume it's not checked) when doing a razor-check -- Daniel Higgins Administrateur SystÃ¨me Netcommunications Inc. ----- Original Message ----- From: ""Tabor J. Wells"" To: ""Daniel Higgins"" Cc: ; ""ML-razor-users"" Sent: Wednesday, August 07, 2002 10:39 AM Subject: Re: [Razor-users] What's wrong with the Razor servers now? > On Wed, Aug 07, 2002 at 10:22:13AM -0400, > Daniel Higgins is thought to have said: > > > maybe i'm wrong, but it could be that your trust isn't high enough to flag a > > single message as spam? > > It would seem to make sense that regardless of your TeS value, the > signatures you report should always come back as spam when you check them > since you should always be able to trust yourself. :) > > -- > -------------------------------------------------------------------- > Tabor J. Wells razor-users@fsckit.net > Fsck It! Just another victim of the ambient morality > > > ------------------------------------------------------- > This sf.net email is sponsored by:ThinkGeek > Welcome to geek heaven. > http://thinkgeek.com/sf > _______________________________________________ > Razor-users mailing list > Razor-users@lists.sourceforge.net > https://lists.sourceforge.net/lists/listinfo/razor-users >------------------------------------------------------- This sf.net email is sponsored by:ThinkGeek Welcome to geek heaven. http://thinkgeek.com/sf _______________________________________________ Razor-users mailing list Razor-users@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/razor-users",0
"duke energy field 7 / 00 we are finally closing another month . please change the demand fee on deal 157278 for july 2000 from $ 33 , 239 . 39 to $ 22 , 159 . 22 . thanks , megan",0
watch and learn about it merle stroke it on . stick it in . embrace the feel . angelo edwardine perihelion dialect hogan beneficent filler dang dynastic garibaldi ireland prod acclamation phelps dinnerware quadric trout caviness lumpur harmonica inroad inveigle satisfy waddle escapade counterpart behest portland inertia cretinous decompression sinistral balletic bruise . detent abernathy discoid discernible bundoora aerosol municipal churchill teardrop yogi niobium gunsling sail algaecide custodian . waaaaaaant to be ?,1
"christmas tree farm pictures thanks , ram tackett , ( mailto : rtackett @ abacustech . net ) owner , abacus technologies 17611 loring lane , spring , tx 77388 - 5746 voice : ( 281 ) 651 - 7106 fax : 1 + ( 281 ) 528 - 8636 ( note 1 + w / in houston ) web : http : / / www . abacustech . net",0
